"VAR2","VAR3","REGION","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Wood Volume","ST_WD_CV_MER","Southern_States",66380,11.1170714070503,5,48.9,3.96191239513788,16.1436391984209,-0.0420042096750864,0.868243890284114,2.06406132977236,11.699426986031,0.226362772718359,3.96210521217162,0.975128456182911
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","Southern_States",66941,11.1328139705113,5,48.9,4.18326373766349,14.0379665939945,-0.0728256621872011,0.217402507392341,2.17111481356649,10.0184285347055,0.236374476255102,4.18386635257782,0.979554302866069
"Stump Bark Volume","SP_BK_CV","Southern_States",74851,10.1498229816569,1,48.9,0.119594553432215,NA,-4.34969260250968e-05,Inf,0.071068205406254,Inf,0.00823216409680658,0.119593762455447,0.618001062360125
"Stump Wood Volume","SP_WD_CV","Southern_States",74948,10.1561576026045,1,48.9,0.378868412674481,23.854470399864,-0.00556194614857311,1.06316077535746,0.174576833982245,17.8462490490086,0.0225129868506904,0.378906709040504,0.882356103285526
"Stump Wood+Bark Volume","SP_WDBK_CV","Southern_States",75454,10.1674861505023,1,48.9,0.43870554374964,23.2107645528307,-0.00540316239144453,0.138444178637741,0.207093696277919,17.2230368330085,0.0264201445212388,0.438735908666601,0.879162567827899
"Total Stem Bark Volume","ST_BK_CV_TOT","Southern_States",75372,10.1002202409383,1,48.9,1.62614993419757,50.5531777356228,-0.00163117150501257,11.4566978112665,0.851958548988781,27.5505825148862,0.0993017964982779,1.62613996477771,0.874562004861878
"Total Stem Wood Volume","ST_WD_CV_TOT","Southern_States",75724,10.0784586128572,1,48.9,3.72166953810748,14.2502681235669,0.0114352126755646,0.893434544013914,1.81848964949381,10.5725564470978,0.212586826566473,3.72166253212468,0.978587178156599
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","Southern_States",75975,10.1181559723593,1,48.9,3.90109825558895,11.5981965815719,-0.015944534104888,0.622913580051164,1.8774151252071,8.56788639799616,0.218347329120755,3.90110516619648,0.982732180037878
"Merch Stem Bark Weight","ST_BK_DW_MER","Southern_States",8384,10.1044608778626,5,42,26.6635811515086,35.0568539490086,0.78316151831085,10.4876852172618,14.9118124973065,25.6047328431525,1.96505671597938,26.6734906559228,0.929551358522712
"Merch Stem Wood Weight","ST_WD_DW_MER","Southern_States",10366,9.56766351533861,5,42,101.810234470804,16.940328727911,-4.72066421532745,2.0120483760982,48.1943320366771,11.9142361271382,6.22720749560961,101.914712278759,0.978434196426315
